date,is_weekend,is_open,type_frequentation,jf,id_attraction,capacite salle,capacite file d'attente,capacite pre-salle,duree,cycle_attraction_max,duty_cycle_max,visitor_count,ec_value,temperature,humidite,rayonnement_solaire,temp_max,temp_min,temp_moy,humidite_max,humidite_min,humidite_moy,hour,min,day,month,year,week,id
2025-02-20 13:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,410.0,1.2000000000058209,14.8,74.445915,313.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,13,0,20,2,2025,8,1214
2025-02-20 14:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,354.0,0.0,16.0,71.74099,194.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,14,0,20,2,2025,8,1215
2025-02-20 15:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,412.0,0.0,16.65,69.06119,231.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,15,0,20,2,2025,8,1216
2025-02-20 16:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,390.0,0.0,17.35,66.0657,329.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,16,0,20,2,2025,8,1217
2025-02-20 17:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,348.0,0.0,16.9,69.1109,224.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,17,0,20,2,2025,8,1218
2025-02-20 18:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,297.0,0.0,15.0,77.51115,82.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,18,0,20,2,2025,8,1219
2025-02-20 19:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,213.0,0.0,13.45,83.443474,7.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,19,0,20,2,2025,8,1220
2025-02-20 20:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,13.05,84.515785,0.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,20,0,20,2,2025,8,1221
2025-02-20 21:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,2.959999999997672,12.6,86.462975,0.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,21,0,20,2,2025,8,1222
2025-02-20 22:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,11.019999999999708,12.65,86.18012,0.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,22,0,20,2,2025,8,1223
2025-02-20 23:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,9.52000000000262,12.25,87.88397,0.0,17.35,7.1,11.589583,94.73206,66.0657,84.46981,23,0,20,2,2025,8,1224
2025-02-21 00:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,11.75,89.92067,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,0,0,21,2,2025,8,1225
2025-02-21 01:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,11.25,91.4016,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,1,0,21,2,2025,8,1226
2025-02-21 02:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,10.6,89.53117,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,2,0,21,2,2025,8,1227
2025-02-21 03:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,10.55,88.02799,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,3,0,21,2,2025,8,1228
2025-02-21 04:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,10.7,84.823975,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,4,0,21,2,2025,8,1229
2025-02-21 05:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,0.0,11.0,79.5539,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,5,0,21,2,2025,8,1230
2025-02-21 06:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,25.839999999996508,10.55,81.412994,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,6,0,21,2,2025,8,1231
2025-02-21 07:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,84.74000000000233,10.45,80.56958,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,7,0,21,2,2025,8,1232
2025-02-21 08:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,77.3199999999968,10.3,76.242516,0.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,8,0,21,2,2025,8,1233
2025-02-21 09:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,0.0,55.66000000000204,11.0,71.281265,53.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,9,0,21,2,2025,8,1234
2025-02-21 10:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,360.0,32.07999999999883,12.2,69.33868,174.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,10,0,21,2,2025,8,1235
2025-02-21 11:00:00,0,1,HF,0,H03,84,750,252,4.0,6.0,0.4,363.0,10.780000000001746,12.5,74.046165,214.0,16.2,10.3,12.691667,91.4016,63.219814,74.27552,11,0,21,2,2025,8,1236
