mois_nom,date,jf,nom_jour,jour,mois,annee,is_weekend,is_open,h_ouv,h_ferm,frequentation,type_frequentation
Juin,2023-06-20,0,Tuesday,20,6,2023,0,1,10:00:00,23:15:00,5600,MF
Juin,2023-06-21,0,Wednesday,21,6,2023,0,1,10:00:00,23:15:00,3480,MF
Juin,2023-06-22,0,Thursday,22,6,2023,0,1,10:00:00,23:15:00,5225,MF
Juin,2023-06-23,0,Friday,23,6,2023,0,1,10:00:00,23:15:00,4835,MF
Juin,2023-06-24,0,Saturday,24,6,2023,1,1,09:30:00,23:15:00,8440,HF
Juin,2023-06-25,0,Sunday,25,6,2023,1,1,09:30:00,23:15:00,4940,MF
Juin,2023-06-26,0,Monday,26,6,2023,0,1,10:00:00,23:15:00,4620,MF
Juin,2023-06-27,0,Tuesday,27,6,2023,0,1,10:00:00,23:15:00,5970,MF
Juin,2023-06-28,0,Wednesday,28,6,2023,0,1,10:00:00,23:15:00,4595,MF
Juin,2023-06-29,0,Thursday,29,6,2023,0,1,10:00:00,23:15:00,5100,MF
Juin,2023-06-30,0,Friday,30,6,2023,0,1,10:00:00,23:15:00,5070,MF
Juillet,2023-07-01,0,Saturday,1,7,2023,1,1,09:30:00,23:15:00,7530,HF
Juillet,2023-07-02,0,Sunday,2,7,2023,1,1,09:30:00,23:15:00,5190,MF
Juillet,2023-07-03,0,Monday,3,7,2023,0,1,10:00:00,23:15:00,5130,MF
Juillet,2023-07-04,0,Tuesday,4,7,2023,0,1,10:00:00,23:15:00,6396,HF
Juillet,2023-07-05,0,Wednesday,5,7,2023,0,1,10:00:00,23:15:00,5970,MF
Juillet,2023-07-06,0,Thursday,6,7,2023,0,1,10:00:00,23:15:00,5090,MF
Juillet,2023-07-07,0,Friday,7,7,2023,0,1,10:00:00,23:15:00,3850,MF
Juillet,2023-07-08,0,Saturday,8,7,2023,1,1,09:30:00,23:00:00,8420,HF
Juillet,2023-07-09,0,Sunday,9,7,2023,1,1,09:30:00,23:00:00,6660,HF
Juillet,2023-07-10,0,Monday,10,7,2023,0,1,09:30:00,23:00:00,7010,HF
Juillet,2023-07-11,0,Tuesday,11,7,2023,0,1,09:30:00,23:00:00,9395,HF
Juillet,2023-07-12,0,Wednesday,12,7,2023,0,1,09:30:00,23:00:00,8200,HF
Juillet,2023-07-13,0,Thursday,13,7,2023,0,1,09:30:00,23:00:00,7495,HF
Juillet,2023-07-14,1,Friday,14,7,2023,0,1,09:30:00,23:00:00,9250,HF
Juillet,2023-07-15,0,Saturday,15,7,2023,1,1,09:30:00,23:00:00,9720,HF
Juillet,2023-07-16,0,Sunday,16,7,2023,1,1,09:30:00,23:00:00,6180,HF
Juillet,2023-07-17,0,Monday,17,7,2023,0,1,09:30:00,23:00:00,6590,HF
Juillet,2023-07-18,0,Tuesday,18,7,2023,0,1,09:30:00,23:00:00,8040,HF
Juillet,2023-07-19,0,Wednesday,19,7,2023,0,1,09:30:00,23:00:00,8150,HF
Juillet,2023-07-20,0,Thursday,20,7,2023,0,1,09:30:00,23:00:00,7200,HF
Juillet,2023-07-21,0,Friday,21,7,2023,0,1,09:30:00,23:00:00,6510,HF
Juillet,2023-07-22,0,Saturday,22,7,2023,1,1,09:30:00,23:00:00,6750,HF
Juillet,2023-07-23,0,Sunday,23,7,2023,1,1,09:30:00,23:00:00,5930,MF
Juillet,2023-07-24,0,Monday,24,7,2023,0,1,09:30:00,23:00:00,8730,HF
Juillet,2023-07-25,0,Tuesday,25,7,2023,0,1,09:30:00,23:00:00,9250,HF
Juillet,2023-07-26,0,Wednesday,26,7,2023,0,1,09:30:00,23:00:00,9120,HF
Juillet,2023-07-27,0,Thursday,27,7,2023,0,1,09:30:00,23:00:00,9520,HF
Juillet,2023-07-28,0,Friday,28,7,2023,0,1,09:30:00,23:00:00,6990,HF
Juillet,2023-07-29,0,Saturday,29,7,2023,1,1,09:30:00,23:00:00,7470,HF
Juillet,2023-07-30,0,Sunday,30,7,2023,1,1,09:30:00,23:00:00,7260,HF
Juillet,2023-07-31,0,Monday,31,7,2023,0,1,09:30:00,23:00:00,8670,HF
Aout,2023-08-01,0,Tuesday,1,8,2023,0,1,09:30:00,23:00:00,10320,HF
Aout,2023-08-02,0,Wednesday,2,8,2023,0,1,09:30:00,23:00:00,10750,HF
Aout,2023-08-03,0,Thursday,3,8,2023,0,1,09:30:00,23:00:00,11030,HF
Aout,2023-08-04,0,Friday,4,8,2023,0,1,09:30:00,23:00:00,9740,HF
Aout,2023-08-05,0,Saturday,5,8,2023,1,1,09:30:00,23:00:00,9010,HF
Aout,2023-08-06,0,Sunday,6,8,2023,1,1,09:30:00,23:00:00,8990,HF
Aout,2023-08-07,0,Monday,7,8,2023,0,1,09:00:00,23:30:00,12150,THF
Aout,2023-08-08,0,Tuesday,8,8,2023,0,1,09:00:00,23:30:00,13410,THF
Aout,2023-08-09,0,Wednesday,9,8,2023,0,1,09:00:00,23:30:00,13550,THF
Aout,2023-08-10,0,Thursday,10,8,2023,0,1,09:00:00,23:30:00,13440,THF
Aout,2023-08-11,0,Friday,11,8,2023,0,1,09:00:00,23:30:00,11180,HF
Aout,2023-08-12,0,Saturday,12,8,2023,1,1,09:00:00,23:30:00,10730,HF
Aout,2023-08-13,0,Sunday,13,8,2023,1,1,09:00:00,23:30:00,12430,THF
Aout,2023-08-14,0,Monday,14,8,2023,0,1,09:00:00,23:30:00,13240,THF
