Date,Hour,D22_ELEC_KEPLER_COASTER [kWh] [D22 - KEPLER / Objectif Mars],D22_ELEC_KEPLER_General batiment [kWh] [D22 - KEPLER / Objectif Mars]
2025-07-02 10:00:00.000,10:00,63.580000000121075,78.87339999999386
2025-07-02 11:00:00.000,11:00,63.7899999998277,82.15729999996256
2025-07-02 12:00:00.000,12:00,75.81000000005588,85.68809999993536
2025-07-02 13:00:00.000,13:00,91.82000000001862,83.9922000000719
2025-07-02 14:00:00.000,14:00,92.14000000008382,83.77999999988823
2025-07-02 15:00:00.000,15:00,93.23999999994413,84.56360000008718
2025-07-02 16:00:00.000,16:00,91.57999999998137,82.08560000001452
2025-07-02 17:00:00.000,17:00,93.70000000004656,79.97399999992922
2025-07-02 18:00:00.000,18:00,92.29999999995344,80.22839999999852
2025-07-02 19:00:00.000,19:00,94.32000000001862,78.68920000004582
2025-07-02 20:00:00.000,20:00,94.74000000008382,74.33559999987483
2025-07-02 21:00:00.000,21:00,93.11999999997205,75.95600000014528
2025-07-02 22:00:00.000,22:00,35.97999999988824,74.3405999999959
2025-07-02 23:00:00.000,23:00,18.900000000046568,58.00399999986403
2025-07-03 00:00:00.000,00:00,8.5,49.962999999988824
2025-07-03 01:00:00.000,01:00,8.25999999991618,48.141000000108036
2025-07-03 02:00:00.000,02:00,8.310000000032597,50.712500000069845
2025-07-03 03:00:00.000,03:00,8.390000000130385,50.88800000001211
2025-07-03 04:00:00.000,04:00,8.39999999993015,50.391000000014905
2025-07-03 05:00:00.000,05:00,8.489999999990687,49.403999999910596
2025-07-03 06:00:00.000,06:00,12.890000000037254,56.17570000009146
2025-07-03 07:00:00.000,07:00,38.729999999888236,61.18599999994039
2025-07-03 08:00:00.000,08:00,19.770000000158326,59.498799999896434
2025-07-03 09:00:00.000,09:00,38.75999999986962,68.03630000001286
2025-07-03 10:00:00.000,10:00,89.70000000013971,66.09640000003856
2025-07-03 11:00:00.000,11:00,86.42727272717113,70.35148181818975
2025-07-03 12:00:00.000,12:00,91.29272727266124,71.52341818181714
2025-07-03 13:00:00.000,13:00,83.82000000011176,74.88300000000744
2025-07-03 14:00:00.000,14:00,90.13999999999068,72.87900000000373
2025-07-03 15:00:00.000,15:00,90.92000000001863,76.85139999999664
2025-07-03 16:00:00.000,16:00,87.32000000001862,75.47879999992438
2025-07-03 17:00:00.000,17:00,90.77999999984166,75.67780000017956
2025-07-03 18:00:00.000,18:00,93.02000000015832,75.46139999986627
2025-07-03 19:00:00.000,19:00,91.29999999990687,74.63000000007452
2025-07-03 20:00:00.000,20:00,92.8,73.32559999991209
2025-07-03 21:00:00.000,21:00,91.84000000003725,70.65540000009351
2025-07-03 22:00:00.000,22:00,33.10000000004656,69.94579999987036
2025-07-03 23:00:00.000,23:00,8.939999999850988,55.15720000006259
2025-07-04 00:00:00.000,00:00,8.300000000046566,51.94500000006519
2025-07-04 01:00:00.000,01:00,8.272727272854272,49.70481818167239
2025-07-04 02:00:00.000,02:00,8.387272727201609,49.447481818332086
2025-07-04 03:00:00.000,03:00,8.300000000023283,48.81049999983515
2025-07-04 04:00:00.000,04:00,8.39999999993015,48.02420000014827
2025-07-04 05:00:00.000,05:00,8.300000000046566,48.10880000004545
2025-07-04 06:00:00.000,06:00,8.399999999906868,46.85889999980573
2025-07-04 07:00:00.000,07:00,23.290000000037253,57.29860000002664
2025-07-04 08:00:00.000,08:00,39.299999999953435,63.07980000004172
2025-07-04 09:00:00.000,09:00,32.300000000046566,62.28159999998752
2025-07-04 10:00:00.000,10:00,46.11000000007916,67.22369999999646
2025-07-04 11:00:00.000,11:00,55.03999999988463,67.59093333344855
2025-07-04 12:00:00.000,12:00,61.94000000012004,69.30826666667645
2025-07-04 13:00:00.000,13:00,62.979999999888236,73.19639999982901
2025-07-04 14:00:00.000,14:00,62.020000000111764,73.22480000015348
2025-07-04 15:00:00.000,15:00,55.86000000005588,74.65459999986925
2025-07-04 16:00:00.000,16:00,90.85999999991618,75.88580000009388
2025-07-04 17:00:00.000,17:00,89.9600000000093,76.96100000003352
2025-07-04 18:00:00.000,18:00,90.07999999998137,75.94399999990128
2025-07-04 19:00:00.000,19:00,90.56000000005588,76.14900000002235
2025-07-04 20:00:00.000,20:00,85.03999999989756,74.0269999999553
2025-07-04 21:00:00.000,21:00,83.59999999995344,71.34140000012704
2025-07-04 22:00:00.000,22:00,43.82000000015833,59.82119999988936
2025-07-04 23:00:00.000,23:00,21.92972375684037,29.24902872930162
2025-07-05 00:00:00.000,00:00,-45.377071823208276,-61.02878453038588
2025-07-05 01:00:00.000,01:00,-45.377071823208276,-61.02878453038588
2025-07-05 02:00:00.000,02:00,-45.377071823208276,-61.02878453038588
2025-07-05 03:00:00.000,03:00,-45.377071823208276,-61.02878453038588
2025-07-05 04:00:00.000,04:00,-45.377071823208276,-61.02878453038588
2025-07-05 05:00:00.000,05:00,-45.377071823208276,-61.02878453038588
2025-07-05 06:00:00.000,06:00,-45.377071823208276,-61.02878453038588
2025-07-05 07:00:00.000,07:00,-45.377071823208276,-61.02878453038588
2025-07-05 08:00:00.000,08:00,-45.377071823208276,-61.02878453038588
2025-07-05 09:00:00.000,09:00,-45.377071823208276,-61.02878453038588
2025-07-05 10:00:00.000,10:00,-45.377071823208276,-61.02878453038588
2025-07-05 11:00:00.000,11:00,-45.377071823208276,-61.02878453038588
2025-07-05 12:00:00.000,12:00,-45.377071823208276,-61.02878453038588
2025-07-05 13:00:00.000,13:00,-45.377071823208276,-61.02878453038588
2025-07-05 14:00:00.000,14:00,-45.377071823208276,-61.02878453038588
2025-07-05 15:00:00.000,15:00,-45.377071823208276,-61.02878453038588
2025-07-05 16:00:00.000,16:00,-45.377071823208276,-61.02878453038588
2025-07-05 17:00:00.000,17:00,-45.377071823208276,-61.02878453038588
2025-07-05 18:00:00.000,18:00,-45.377071823208276,-61.02878453038588
2025-07-05 19:00:00.000,19:00,-45.377071823208276,-61.02878453038588
2025-07-05 20:00:00.000,20:00,-45.377071823208276,-61.02878453038588
2025-07-05 21:00:00.000,21:00,-45.377071823208276,-61.02878453038588
2025-07-05 22:00:00.000,22:00,-45.377071823208276,-61.02878453038588
2025-07-05 23:00:00.000,23:00,-45.377071823208276,-61.02878453038588
2025-07-06 00:00:00.000,00:00,0,0
2025-07-06 01:00:00.000,01:00,0,0
2025-07-06 02:00:00.000,02:00,0,0
2025-07-06 03:00:00.000,03:00,0,0
2025-07-06 04:00:00.000,04:00,0,0
2025-07-06 05:00:00.000,05:00,0,0
2025-07-06 06:00:00.000,06:00,0,0
2025-07-06 07:00:00.000,07:00,0,0
2025-07-06 08:00:00.000,08:00,0,0
2025-07-06 09:00:00.000,09:00,0,0
2025-07-06 10:00:00.000,10:00,0,0
2025-07-06 11:00:00.000,11:00,0,0
2025-07-06 12:00:00.000,12:00,0,0
2025-07-06 13:00:00.000,13:00,0,0
2025-07-06 14:00:00.000,14:00,0,0
2025-07-06 15:00:00.000,15:00,0,0
2025-07-06 16:00:00.000,16:00,0,0
2025-07-06 17:00:00.000,17:00,0,0
2025-07-06 18:00:00.000,18:00,0,0
2025-07-06 19:00:00.000,19:00,0,0
2025-07-06 20:00:00.000,20:00,0,0
2025-07-06 21:00:00.000,21:00,0,0
2025-07-06 22:00:00.000,22:00,0,0
2025-07-06 23:00:00.000,23:00,0,0
2025-07-07 00:00:00.000,00:00,310.93486590039737,364.5065900383132
2025-07-07 01:00:00.000,01:00,466.40229885059597,546.7598850574699
2025-07-07 02:00:00.000,02:00,466.40229885059597,546.7598850574699
2025-07-07 03:00:00.000,03:00,466.40229885059597,546.7598850574699
2025-07-07 04:00:00.000,04:00,466.40229885059597,546.7598850574699
2025-07-07 05:00:00.000,05:00,466.40229885059597,546.7598850574699
2025-07-07 06:00:00.000,06:00,466.40229885059597,546.7598850574699
