date,visitor_count,elec_1,elec_2,elec_3,cycle_attraction_max,duty_cycle_max,capacite salle,capacite file d'attente,capacite pre-salle,is_weekend,jf,is_open,type_frequentation,temperature,temp_max,temp_min,temp_moy,humidite,humidite_max,humidite_min,humidite_moy,rayonnement_solaire,hour,min,day,month,year,week
2025-02-14 04:00:00,0,37.255,22.12,15.2,3.0,0.6,190,800,190,0,0,1,MF,5.4,8.9,2.75,5.7166667,82.15709,87.921165,60.834217,76.618645,0.0,4,0,14,2,2025,7
2025-02-14 05:00:00,0,35.565,20.57,0.2,3.0,0.6,190,800,190,0,0,1,MF,5.2,8.9,2.75,5.7166667,81.83937,87.921165,60.834217,76.618645,0.0,5,0,14,2,2025,7
2025-02-14 06:00:00,0,39.608,22.25,0.0,3.0,0.6,190,800,190,0,0,1,MF,4.95,8.9,2.75,5.7166667,83.275475,87.921165,60.834217,76.618645,0.0,6,0,14,2,2025,7
2025-02-14 07:00:00,0,55.728,24.49,0.0,3.0,0.6,190,800,190,0,0,1,MF,4.75,8.9,2.75,5.7166667,84.14473,87.921165,60.834217,76.618645,0.0,7,0,14,2,2025,7
2025-02-14 08:00:00,0,60.426,20.55,0.0,3.0,0.6,190,800,190,0,0,1,MF,4.55,8.9,2.75,5.7166667,82.92943,87.921165,60.834217,76.618645,0.0,8,0,14,2,2025,7
2025-02-14 09:00:00,0,93.334,38.17,3.45,3.0,0.6,190,800,190,0,0,1,MF,4.55,8.9,2.75,5.7166667,81.169876,87.921165,60.834217,76.618645,12.0,9,0,14,2,2025,7
2025-02-14 10:00:00,86,198.564,113.44,26.35,3.0,0.6,190,800,190,0,0,1,MF,4.65,8.9,2.75,5.7166667,78.60793,87.921165,60.834217,76.618645,43.0,10,0,14,2,2025,7
2025-02-14 11:00:00,96,203.6129091,120.4,25.0,3.0,0.6,190,800,190,0,0,1,MF,6.1,8.9,2.75,5.7166667,69.8156,87.921165,60.834217,76.618645,284.0,11,0,14,2,2025,7
2025-02-14 12:00:00,68,198.7730909,119.62,18.7,3.0,0.6,190,800,190,0,0,1,MF,6.6,8.9,2.75,5.7166667,66.48816,87.921165,60.834217,76.618645,241.0,12,0,14,2,2025,7
2025-02-14 13:00:00,55,188.166,107.67,13.17,3.0,0.6,190,800,190,0,0,1,MF,7.5,8.9,2.75,5.7166667,63.192432,87.921165,60.834217,76.618645,305.0,13,0,14,2,2025,7
2025-02-14 14:00:00,64,190.085,111.06,16.33,3.0,0.6,190,800,190,0,0,1,MF,8.2,8.9,2.75,5.7166667,65.42527,87.921165,60.834217,76.618645,340.0,14,0,14,2,2025,7
2025-02-14 15:00:00,64,187.457,110.59,17.0,3.0,0.6,190,800,190,0,0,1,MF,8.9,8.9,2.75,5.7166667,62.398228,87.921165,60.834217,76.618645,450.0,15,0,14,2,2025,7
2025-02-14 16:00:00,75,187.626,109.94,19.6,3.0,0.6,190,800,190,0,0,1,MF,8.8,8.9,2.75,5.7166667,60.834217,87.921165,60.834217,76.618645,358.0,16,0,14,2,2025,7
2025-02-14 17:00:00,46,183.803,107.97,13.8,3.0,0.6,190,800,190,0,0,1,MF,8.35,8.9,2.75,5.7166667,62.26766,87.921165,60.834217,76.618645,234.0,17,0,14,2,2025,7
2025-02-14 18:00:00,31,162.935,88.15,16.6,3.0,0.6,190,800,190,0,0,1,MF,6.3,8.9,2.75,5.7166667,73.97288,87.921165,60.834217,76.618645,92.0,18,0,14,2,2025,7
2025-02-14 19:00:00,9,94.775,50.68,9.0,3.0,0.6,190,800,190,0,0,1,MF,4.9,8.9,2.75,5.7166667,78.928474,87.921165,60.834217,76.618645,3.0,19,0,14,2,2025,7
2025-02-14 20:00:00,3,39.216,20.61,1.0,3.0,0.6,190,800,190,0,0,1,MF,4.2,8.9,2.75,5.7166667,78.53854,87.921165,60.834217,76.618645,0.0,20,0,14,2,2025,7
2025-02-14 21:00:00,0,45.26027273,27.01,5.6,3.0,0.6,190,800,190,0,0,1,MF,3.8,8.9,2.75,5.7166667,77.91118,87.921165,60.834217,76.618645,0.0,21,0,14,2,2025,7
2025-02-14 22:00:00,0,42.73572727,24.57,9.6,3.0,0.6,190,800,190,0,0,1,MF,3.3,8.9,2.75,5.7166667,78.39881,87.921165,60.834217,76.618645,0.0,22,0,14,2,2025,7
