Date,Hour,D11_ELEC_MTH_general TD Audio [kWh] [D11 - Futur l'expo (MTH)],D11_ELEC_MTH_inter general scenique [kWh] [D11 - Futur l'expo (MTH)]
2025-06-15 19:00:00.000,19:00,12.992000000004191,36.0064000000013
2025-06-15 20:00:00.000,20:00,12.012800000002608,35.00799999996089
2025-06-15 21:00:00.000,21:00,11.987199999997392,35.392000000015834
2025-06-15 22:00:00.000,22:00,12.409599999990315,32.40959999999031
2025-06-15 23:00:00.000,23:00,9.247085714320253,27.16708571433888
2025-06-16 00:00:00.000,00:00,8.935314285687802,28.000914285712806
2025-06-16 01:00:00.000,01:00,9.020799999980955,27.9295999999973
2025-06-16 02:00:00.000,02:00,8.790400000021327,27.468800000008194
2025-06-16 03:00:00.000,03:00,8.998400000017137,27.21280000000261
2025-06-16 04:00:00.000,04:00,8.198400000005494,27.82719999991823
2025-06-16 05:00:00.000,05:00,9.017599999986125,27.96800000008661
2025-06-16 06:00:00.000,06:00,8.99839999997057,27.212799999932756
2025-06-16 07:00:00.000,07:00,10.976000000024214,35.622400000016206
2025-06-16 08:00:00.000,08:00,9.811199999996461,35.96799999999348
2025-06-16 09:00:00.000,09:00,11.80800000000163,35.430400000012014
2025-06-16 10:00:00.000,10:00,14.70079999997979,35.96799999999348
2025-06-16 11:00:00.000,11:00,15.008000000013272,35.724800000013786
2025-06-16 12:00:00.000,12:00,14.281600000004982,34.93236363634827
2025-06-16 13:00:00.000,13:00,14.409599999984493,35.74923636367417
2025-06-16 14:00:00.000,14:00,14.39360000002198,35.417599999974485
2025-06-16 15:00:00.000,15:00,13.01119999999646,35.58400000000839
2025-06-16 16:00:00.000,16:00,12.991999999992549,36.0064000000013
2025-06-16 17:00:00.000,17:00,13.401599999994506,35.00799999996089
2025-06-16 18:00:00.000,18:00,13.606400000012945,35.99360000006855
2025-06-16 19:00:00.000,19:00,12.991999999992549,34.98239999995567
2025-06-16 20:00:00.000,20:00,13.0048000000068,36.03200000000652
2025-06-16 21:00:00.000,21:00,13.606399999989662,35.007999999984165
2025-06-16 22:00:00.000,22:00,11.385600000014529,30.771200000029058
2025-06-16 23:00:00.000,23:00,8.651885714303768,28.028342857102064
2025-06-17 00:00:00.000,00:00,8.935314285687802,27.178057142887596
2025-06-17 01:00:00.000,01:00,8.099200000002748,28.025600000005216
2025-06-17 02:00:00.000,02:00,8.918399999977556,27.37280000000028
2025-06-17 03:00:00.000,03:00,8.793600000021979,27.96799999999348
2025-06-17 04:00:00.000,04:00,8.204799999995156,27.21280000002589
2025-06-17 05:00:00.000,05:00,8.992000000027474,28.019200000003913
2025-06-17 06:00:00.000,06:00,10.809599999978673,31.60319999998901
2025-06-17 07:00:00.000,07:00,11.001599999982865,35.980799999996094
2025-06-17 08:00:00.000,08:00,11.008000000019091,35.008000000030734
2025-06-17 09:00:00.000,09:00,11.974399999994784,34.39359999994049
2025-06-17 10:00:00.000,10:00,13.51040000001085,36.03200000000652
2025-06-17 11:00:00.000,11:00,15.305599999980767,35.00799999999581
2025-06-17 12:00:00.000,12:00,14.879709090922155,35.585163636395535
2025-06-17 13:00:00.000,13:00,13.910690909087531,35.774836363590495
2025-06-17 14:00:00.000,14:00,15.007999999995809,35.008000000030734
2025-06-17 15:00:00.000,15:00,15.60319999998901,36.00640000000131
2025-06-17 16:00:00.000,16:00,16,35.00799999996089
2025-06-17 17:00:00.000,17:00,15.385600000014529,35.008000000030734
2025-06-17 18:00:00.000,18:00,14.01600000000326,35.96799999999348
2025-06-17 19:00:00.000,19:00,14.003200000000652,35.008000000030734
2025-06-17 20:00:00.000,20:00,14.98880000000354,35.007999999984165
2025-06-17 21:00:00.000,21:00,14.598400000005494,35.99359999999869
2025-06-17 22:00:00.000,22:00,12.409599999990315,30.399999999976714
2025-06-17 23:00:00.000,23:00,9.64388571430796,27.551085714323982
2025-06-18 00:00:00.000,00:00,10.94811428569041,27.962514285716626
2025-06-18 01:00:00.000,01:00,10.01600000000326,27.96800000000512
2025-06-18 02:00:00.000,02:00,9.788799999997718,27.53279999998631
2025-06-18 03:00:00.000,03:00,9.98399999999674,27.199999999953434
2025-06-18 04:00:00.000,04:00,11.008000000019091,27.77600000007078
2025-06-18 05:00:00.000,05:00,11.007999999984166,28.031999999913385
2025-06-18 06:00:00.000,06:00,11.795200000004844,30.771200000029058
2025-06-18 07:00:00.000,07:00,10.214399999997113,36.03200000000652
2025-06-18 08:00:00.000,08:00,9.990399999998044,35.96799999999348
2025-06-18 09:00:00.000,09:00,11.795200000004844,36.03200000000652
2025-06-18 10:00:00.000,10:00,14.707199999975273,35.366399999998976
2025-06-18 11:00:00.000,11:00,16,35.008000000030734
2025-06-18 12:00:00.000,12:00,14.16494545457218,35.391999999957626
2025-06-18 13:00:00.000,13:00,13.931054545441558,35.008000000030734
2025-06-18 14:00:00.000,14:00,13.99680000001099,36.0064000000013
2025-06-18 15:00:00.000,15:00,13.60639999997802,35.4175999999512
2025-06-18 16:00:00.000,16:00,13.798400000005495,35.584000000078234
2025-06-18 17:00:00.000,17:00,13.606400000012945,35.39199999994598
2025-06-18 18:00:00.000,18:00,12.991999999992549,35.622400000016206
