Date,Hour,A13_Elec_Aquascope_TGBT1 (attraction) [kWh] [A13 - Aquascope],A13_Elec_Aquascope_TGBT2 (batiment) [kWh] [A13 - Aquascope],A13_ELEC Energie Compteur Electrique TGBT1 GENERAL [kWh] [A13 - Aquascope],A13_ELEC Energie Compteur Electrique TGBT2 GENERAL [kWh] [A13 - Aquascope]
2025-06-23 12:00:00.000,12:00,299.6,204,335.88235294117646,336.1764705882353
2025-06-23 13:00:00.000,13:00,464.2,299.6,346.11764705882354,341.88235294117646
2025-06-23 14:00:00.000,14:00,338.6,337.20000000000005,340.6470588235294,348
2025-06-23 15:00:00.000,15:00,346.79999999999995,343,345.29411764705884,359.7647058823529
2025-06-23 16:00:00.000,16:00,343.2,349,340.5882352941177,356.05882352941177
2025-06-23 17:00:00.000,17:00,342.8,355.64444444444445,159.3529411764706,168.58823529411765
2025-06-23 18:00:00.000,18:00,339.4,354.85555555555555,139.64705882352942,146.5294117647059
2025-06-23 19:00:00.000,19:00,182.60000000000002,195.2,133.05882352941177,133.47058823529412
2025-06-23 20:00:00.000,20:00,144.7,151,148.35294117647058,150.85294117647058
2025-06-23 21:00:00.000,21:00,133,131.9,150.7058823529412,144.08823529411765
2025-06-23 22:00:00.000,22:00,144,149.1,145.23529411764704,139.94117647058823
2025-06-23 23:00:00.000,23:00,151.5,145.5,145.11764705882354,138.23529411764707
2025-06-24 00:00:00.000,00:00,144.60000000000002,139.60000000000002,149,140.76470588235293
2025-06-24 01:00:00.000,01:00,146,139.1,150.44117647058823,141.47058823529412
2025-06-24 02:00:00.000,02:00,147.85454545454547,140.11818181818182,150.55882352941177,144.7058823529412
2025-06-24 03:00:00.000,03:00,150.54545454545456,140.58181818181816,156,144.23529411764707
2025-06-24 04:00:00.000,04:00,150.2,145,156.2941176470588,141.94117647058823
2025-06-24 05:00:00.000,05:00,155.6,143.8,147.7058823529412,133.64705882352942
2025-06-24 06:00:00.000,06:00,158,144,151.19117647058823,143.9705882352941
2025-06-24 07:00:00.000,07:00,148.2,134.2,134.51470588235293,143.2058823529412
2025-06-24 08:00:00.000,08:00,152.60000000000002,141.8,130.23529411764707,159.29411764705884
2025-06-24 09:00:00.000,09:00,149.60000000000002,158.8,162.05882352941177,153.88235294117646
2025-06-24 10:00:00.000,10:00,115.69999999999999,144.5,238.19117647058823,269.93014705882354
2025-06-24 11:00:00.000,11:00,158.5,153.1,306.9375,343.1875
2025-06-24 12:00:00.000,12:00,224.4,246.00000000000003,329.2242647058823,348.1764705882353
2025-06-24 13:00:00.000,13:00,296.8,341.79999999999995,337.5882352941177,356.8235294117647
2025-06-24 14:00:00.000,14:00,334.8,346.2,342.29411764705884,353
2025-06-24 15:00:00.000,15:00,333.4,359.4,346.70588235294116,353.9375
2025-06-24 16:00:00.000,16:00,338.8363636363636,348.9090909090909,329.5,349.125
2025-06-24 17:00:00.000,17:00,351.3636363636364,357.42424242424244,148.55882352941177,170.40808823529412
2025-06-24 18:00:00.000,18:00,339.79999999999995,353.9666666666667,138.94117647058823,141.52941176470588
2025-06-24 19:00:00.000,19:00,162.55,191.9,135.94117647058823,132.76470588235293
2025-06-24 20:00:00.000,20:00,138.05,141.2,148.93382352941177,152.29779411764707
2025-06-24 21:00:00.000,21:00,136,133.3,149.625,145.625
2025-06-24 22:00:00.000,22:00,147.8,149.20000000000002,138.79411764705884,133.95955882352942
2025-06-24 23:00:00.000,23:00,150.8,148.10000000000002,147.70588235294116,124.3529411764706
2025-06-25 00:00:00.000,00:00,136.66666666666666,133.66666666666666,148.7058823529412,119.94117647058823
2025-06-25 01:00:00.000,01:00,153.93333333333334,135.13333333333333,138.23161764705884,151.49632352941177
2025-06-25 02:00:00.000,02:00,154.75294117647059,120.25882352941176,144,162.125
2025-06-25 03:00:00.000,03:00,138.24705882352941,149.94117647058823,148.94485294117646,168.02573529411765
2025-06-25 04:00:00.000,04:00,131.2,149.6,153.11764705882354,179.41176470588235
2025-06-25 05:00:00.000,05:00,150.2,165.4,144.52941176470588,146.52941176470588
2025-06-25 06:00:00.000,06:00,152,180.2,120.34558823529412,151.15808823529412
2025-06-25 07:00:00.000,07:00,147.2,152.20000000000002,107.125,145.8125
2025-06-25 08:00:00.000,08:00,125.4,149.39999999999998,124.05882352941177,159.61764705882354
2025-06-25 09:00:00.000,09:00,110,152.8,157.94117647058823,184.88235294117646
2025-06-25 10:00:00.000,10:00,123.75294117647059,160.63529411764705,214.11764705882354,354.2352941176471
2025-06-25 11:00:00.000,11:00,142.8470588235294,169.16470588235293,311.50735294117646,354.7022058823529
2025-06-25 12:00:00.000,12:00,206,337.20000000000005,350.1875,362.3125
2025-06-25 13:00:00.000,13:00,304.6,355.8,353.48161764705884,360.3382352941177
2025-06-25 14:00:00.000,14:00,346.4,359.6,346.7058823529412,361.4117647058824
2025-06-25 15:00:00.000,15:00,354,360.20000000000005,351.47058823529414,361.8235294117647
2025-06-25 16:00:00.000,16:00,342.8,358.5,339.27941176470586,366.7389705882353
2025-06-25 17:00:00.000,17:00,351.7,362.7,170.5625,203.5625
2025-06-25 18:00:00.000,18:00,346.8,369.6,151.15808823529412,155.16911764705884
2025-06-25 19:00:00.000,19:00,203.38235294117646,241.11764705882354,148.52941176470588,151.70588235294116
2025-06-25 20:00:00.000,20:00,137.61764705882354,142.38235294117646,155.29411764705884,166.47058823529412
2025-06-25 21:00:00.000,21:00,148,151.4,153.58088235294116,152.21691176470588
2025-06-25 22:00:00.000,22:00,156.7,166,150.4375,149.625
2025-06-25 23:00:00.000,23:00,154.8,155.10000000000002,148.56985294117646,163.39338235294116
2025-06-26 00:00:00.000,00:00,149.0769230769231,148.0769230769231,153.11764705882354,159.29411764705884
2025-06-26 01:00:00.000,01:00,149.4230769230769,163.32307692307694,166.05882352941177,161.05882352941177
2025-06-26 02:00:00.000,02:00,150.3,157.2,159.00367647058823,163.56617647058823
2025-06-26 03:00:00.000,03:00,167.6,162,157.875,165.75
2025-06-26 04:00:00.000,04:00,160.4,164,155.7683823529412,175.33088235294116
2025-06-26 05:00:00.000,05:00,156,164.8,154.29411764705884,147.2941176470588
2025-06-26 06:00:00.000,06:00,156,175.8,217.31080926834832,230.809268348362
2025-06-26 07:00:00.000,07:00,155,148.8,217.31080926834832,230.809268348362
2025-06-26 08:00:00.000,08:00,162.60000000000002,133,217.31080926834832,230.809268348362
2025-06-26 09:00:00.000,09:00,166,121,217.31080926834832,230.809268348362
2025-06-26 10:00:00.000,10:00,185.2,131.8,217.31080926834832,230.809268348362
2025-06-26 11:00:00.000,11:00,170.8,132,217.31080926834832,230.809268348362
2025-06-26 12:00:00.000,12:00,155.60000000000002,146.60000000000002,217.31080926834832,230.809268348362
2025-06-26 13:00:00.000,13:00,307.4,245,217.31080926834832,230.809268348362
2025-06-26 14:00:00.000,14:00,354.20000000000005,350.9,217.31080926834832,230.809268348362
2025-06-26 15:00:00.000,15:00,315.8,314,217.31080926834832,230.809268348362
2025-06-26 16:00:00.000,16:00,356,358.70000000000005,217.31080926834832,230.809268348362
2025-06-26 17:00:00.000,17:00,357,360.6,217.31080926834832,230.809268348362
2025-06-26 18:00:00.000,18:00,350.1,368.79999999999995,217.31080926834832,230.809268348362
2025-06-26 19:00:00.000,19:00,162.3,217.39999999999998,217.31080926834832,230.809268348362
2025-06-26 20:00:00.000,20:00,147.29999999999998,146.3,217.31080926834832,230.809268348362
2025-06-26 21:00:00.000,21:00,158.4,152,217.31080926834832,230.809268348362
2025-06-26 22:00:00.000,22:00,160.39999999999998,159.5,217.31080926834832,230.809268348362
2025-06-26 23:00:00.000,23:00,161.1,159.39999999999998,217.31080926834832,230.809268348362
2025-06-27 00:00:00.000,00:00,143.4,157.5,217.31080926834832,230.809268348362
2025-06-27 01:00:00.000,01:00,139,130.4,217.31080926834832,230.809268348362
2025-06-27 02:00:00.000,02:00,155.4,129.5,217.31080926834832,230.809268348362
2025-06-27 03:00:00.000,03:00,145.1,157.4,217.31080926834832,230.809268348362
2025-06-27 04:00:00.000,04:00,142.10000000000002,158,217.31080926834832,230.809268348362
2025-06-27 05:00:00.000,05:00,149.2,159.8,217.31080926834832,230.809268348362
2025-06-27 06:00:00.000,06:00,152.8,161.2,217.31080926834832,230.809268348362
2025-06-27 07:00:00.000,07:00,159.55555555555557,155.53333333333333,217.31080926834832,230.809268348362
2025-06-27 08:00:00.000,08:00,152.04444444444445,148.66666666666669,217.31080926834832,230.809268348362
2025-06-27 09:00:00.000,09:00,146.6,140.39999999999998,217.31080926834832,230.809268348362
2025-06-27 10:00:00.000,10:00,146,139.8,217.31080926834832,230.809268348362
2025-06-27 11:00:00.000,11:00,142.2,133.4,217.31080926834832,230.809268348362
2025-06-27 12:00:00.000,12:00,220.8,246.2,217.31080926834832,230.809268348362
2025-06-27 13:00:00.000,13:00,288.8,336.8,217.31080926834832,230.809268348362
2025-06-27 14:00:00.000,14:00,339.2,342.4,217.31080926834832,230.809268348362
2025-06-27 15:00:00.000,15:00,345.6,358,217.31080926834832,230.809268348362
2025-06-27 16:00:00.000,16:00,336.1090909090909,367.09999999999997,217.31080926834832,230.809268348362
2025-06-27 17:00:00.000,17:00,343.2909090909091,370.5363636363636,217.31080926834832,230.809268348362
2025-06-27 18:00:00.000,18:00,354.16363636363633,377.45454545454544,217.31080926834832,230.809268348362
2025-06-27 19:00:00.000,19:00,348.6363636363636,373.0090909090909,217.31080926834832,230.809268348362
2025-06-27 20:00:00.000,20:00,353,371.9,217.31080926834832,230.809268348362
2025-06-27 21:00:00.000,21:00,344.4,368.7,217.31080926834832,230.809268348362
2025-06-27 22:00:00.000,22:00,168.8,196.2,217.31080926834832,230.809268348362
2025-06-27 23:00:00.000,23:00,152.8,151.1,217.31080926834832,230.809268348362
2025-06-28 00:00:00.000,00:00,147.39999999999998,144.60000000000002,217.31080926834832,230.809268348362
2025-06-28 01:00:00.000,01:00,146.2,146.9,217.31080926834832,230.809268348362
2025-06-28 02:00:00.000,02:00,145.6727272727273,145.95454545454544,217.31080926834832,230.809268348362
2025-06-28 03:00:00.000,03:00,149.72727272727272,154.54545454545453,217.31080926834832,230.809268348362
2025-06-28 04:00:00.000,04:00,147,160.6,217.31080926834832,230.809268348362
2025-06-28 05:00:00.000,05:00,153.8,162,217.31080926834832,230.809268348362
2025-06-28 06:00:00.000,06:00,161,162,217.31080926834832,230.809268348362
2025-06-28 07:00:00.000,07:00,169.2,167.6,217.31080926834832,230.809268348362
2025-06-28 08:00:00.000,08:00,155.6,155.79999999999998,217.31080926834832,230.809268348362
2025-06-28 09:00:00.000,09:00,295.8,297.2,217.31080926834832,230.809268348362
2025-06-28 10:00:00.000,10:00,337.4235294117647,344.50588235294117,217.31080926834832,230.809268348362
2025-06-28 11:00:00.000,11:00,335.3764705882353,346.8941176470588,217.31080926834832,230.809268348362
2025-06-28 12:00:00.000,12:00,361.2,375,217.31080926834832,230.809268348362
2025-06-28 13:00:00.000,13:00,353.4,375.8,217.31080926834832,230.809268348362
2025-06-28 14:00:00.000,14:00,350,368.20000000000005,217.31080926834832,230.809268348362
2025-06-28 15:00:00.000,15:00,354.79999999999995,371.20000000000005,217.31080926834832,230.809268348362
2025-06-28 16:00:00.000,16:00,347.4909090909091,359.0181818181818,217.31080926834832,230.809268348362
2025-06-28 17:00:00.000,17:00,352.27272727272725,364.8181818181818,217.31080926834832,230.809268348362
2025-06-28 18:00:00.000,18:00,355.7363636363636,371.1636363636364,217.31080926834832,230.809268348362
2025-06-28 19:00:00.000,19:00,359.3,368.2,217.31080926834832,230.809268348362
2025-06-28 20:00:00.000,20:00,355,369,217.31080926834832,230.809268348362
2025-06-28 21:00:00.000,21:00,350.4,367.7,217.31080926834832,230.809268348362
2025-06-28 22:00:00.000,22:00,178.39999999999998,213.3,217.31080926834832,230.809268348362
2025-06-28 23:00:00.000,23:00,155.8,163,217.31080926834832,230.809268348362
2025-06-29 00:00:00.000,00:00,137.60000000000002,152.39999999999998,217.31080926834832,230.809268348362
2025-06-29 01:00:00.000,01:00,164.20000000000002,161.2,217.31080926834832,230.809268348362
2025-06-29 02:00:00.000,02:00,132.2,117.60000000000001,217.31080926834832,230.809268348362
2025-06-29 03:00:00.000,03:00,140.8,154.60000000000002,217.31080926834832,230.809268348362
2025-06-29 04:00:00.000,04:00,142.25882352941176,168.9058823529412,217.31080926834832,230.809268348362
2025-06-29 05:00:00.000,05:00,143.34117647058824,163.69411764705882,217.31080926834832,230.809268348362
2025-06-29 06:00:00.000,06:00,157.2,169.6,217.31080926834832,230.809268348362
2025-06-29 07:00:00.000,07:00,156.2,165.6,217.31080926834832,230.809268348362
2025-06-29 08:00:00.000,08:00,265.6,279.4,217.31080926834832,230.809268348362
2025-06-29 09:00:00.000,09:00,370.8,354.6,217.31080926834832,230.809268348362
2025-06-29 10:00:00.000,10:00,359.6,355.40000000000003,217.31080926834832,230.809268348362
2025-06-29 11:00:00.000,11:00,358.6,405.8,217.31080926834832,230.809268348362
2025-06-29 12:00:00.000,12:00,361.4,435.4,217.31080926834832,230.809268348362
2025-06-29 13:00:00.000,13:00,362.59999999999997,429.8,217.31080926834832,230.809268348362
2025-06-29 14:00:00.000,14:00,361.2,429.6,217.31080926834832,230.809268348362
2025-06-29 15:00:00.000,15:00,358.4,419.6,217.31080926834832,230.809268348362
2025-06-29 16:00:00.000,16:00,344,400,217.31080926834832,230.809268348362
2025-06-29 17:00:00.000,17:00,349,411.8,217.31080926834832,230.809268348362
2025-06-29 18:00:00.000,18:00,347.5,407.9,217.31080926834832,230.809268348362
2025-06-29 19:00:00.000,19:00,184.3,222,217.31080926834832,230.809268348362
2025-06-29 20:00:00.000,20:00,148.7,153.9,217.31080926834832,230.809268348362
2025-06-29 21:00:00.000,21:00,152,146.7,217.31080926834832,230.809268348362
2025-06-29 22:00:00.000,22:00,157.4,165.8,217.31080926834832,230.809268348362
2025-06-29 23:00:00.000,23:00,160.1,164.7,217.31080926834832,230.809268348362
2025-06-30 00:00:00.000,00:00,143.5,158.3,217.31080926834832,230.809268348362
2025-06-30 01:00:00.000,01:00,154.9,154.6,217.31080926834832,230.809268348362
2025-06-30 02:00:00.000,02:00,153.6909090909091,136.73636363636365,217.31080926834832,230.809268348362
2025-06-30 03:00:00.000,03:00,143.5090909090909,157.96363636363637,217.31080926834832,230.809268348362
2025-06-30 04:00:00.000,04:00,141.60000000000002,168.2,217.31080926834832,230.809268348362
2025-06-30 05:00:00.000,05:00,148.8,166.6,217.31080926834832,230.809268348362
2025-06-30 06:00:00.000,06:00,153.8,169,217.31080926834832,230.809268348362
2025-06-30 07:00:00.000,07:00,145.6,148.6,217.31080926834832,230.809268348362
2025-06-30 08:00:00.000,08:00,153.6,151.8,217.31080926834832,230.809268348362
2025-06-30 09:00:00.000,09:00,140.69230769230768,168.5076923076923,217.31080926834832,230.809268348362
2025-06-30 10:00:00.000,10:00,112.1076923076923,139.4923076923077,217.31080926834832,230.809268348362
2025-06-30 11:00:00.000,11:00,136.2,163.6,217.31080926834832,230.809268348362
2025-06-30 12:00:00.000,12:00,264.9125,303.57500000000005,217.31080926834832,230.809268348362
2025-06-30 13:00:00.000,13:00,268.875,308.25,217.31080926834832,230.809268348362
2025-06-30 14:00:00.000,14:00,291.75795454545454,323.5931818181818,217.31080926834832,230.809268348362
2025-06-30 15:00:00.000,15:00,351.45454545454544,371.9818181818182,217.31080926834832,230.809268348362
2025-06-30 16:00:00.000,16:00,348,363,217.31080926834832,230.809268348362
